filename,source_url,license,sha256
frog.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/frog.svg,CC BY 4.0,c59d65c2521c65ee192ba0ae9fa8e7dfeacad17edfcd6d36c9676c6501571ee5
gamepad.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/gamepad.svg,CC BY 4.0,380daa0cc3fe854c22d30ef0422a6f446b7f480435e42c5317442364dae364a3
gem.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/gem.svg,CC BY 4.0,49bd4be1ba8a06fad478f93a3358ddf6fcbaeaf192363f41e80fcd1568c61215
ghost.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/ghost.svg,CC BY 4.0,b485c9b7abe266412e4e1dd8ab9228e120a44cae43374355e9a0d44ee5349fa7
gift.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/gift.svg,CC BY 4.0,9af794204bbf54bae5f40bd131c60260498f462be31068772216f8b79d91c503
glasses.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/glasses.svg,CC BY 4.0,4851cf162612823f90c263906ba54201878e980ce82b855b511fef58ba6c4ebf
guitar.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/guitar.svg,CC BY 4.0,e8e7a035fb5c44d1d09df55d511aa15fc20d5d6c7f4da81a947927635b2880c4
hammer.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/hammer.svg,CC BY 4.0,a11c8e8573adeaa6b5abee102e683e2031549b3b1473f4c6ee5544bd17585a9a
hand.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/hand.svg,CC BY 4.0,e7a36023c24d066b07a11d6f8dc34582ace1c4e44a1b739601b15628c9479d3d
heart.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/heart.svg,CC BY 4.0,caf7d54fba78071dd832946a8e54cefd7dd2b411ab8b0a779e9f7801eed706c1
helicopter.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/helicopter.svg,CC BY 4.0,8d2f5a8876f7d5454491dea34b6bf83e7e6cea662dfe42c6f3b0552d9007aa95
hippo.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/hippo.svg,CC BY 4.0,097cc648b856ea3ebe12d3babf0cf75ed80fa7a48fdfa6d8c5acc6f346df107c
horse.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/horse.svg,CC BY 4.0,02a28b94bd6431f920bff57b81daef6ddccb5a91ceda27dbade5a83c97340a3b
house.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/house.svg,CC BY 4.0,379fe9f56a3ece34226fb9728b8b76cfbaa8255fba3421a2cdd53616f41c612a
ice-cream.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/ice-cream.svg,CC BY 4.0,ee95c73e5c75124a4d049dd794f0d12aba524cdafcb300f4ca83a4fb1229e336
key.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/key.svg,CC BY 4.0,f62ba9d124cba800d66d0e4bb6b8008d1d591053508c60910350d711e80b4968
leaf.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/leaf.svg,CC BY 4.0,7dd707607d28c0ead9b93ac84760e866835e1a3f3c0b386d9e96ad8acdf7300d
lemon.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/lemon.svg,CC BY 4.0,ff8e6ee9257f31d0ace4ba41e8624306ff040c47542e80dcd4b304846522acff
lightbulb.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/lightbulb.svg,CC BY 4.0,edc8ca485fb9250a8788bcf5cdc7fefab8165b324bc9e6828ad173dbe7140a5a
location-dot.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/location-dot.svg,CC BY 4.0,f4a6d1d0f9a965600ac45a40c605615b7076aa657fa8c50f6d474f2309473a92
lock.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/lock.svg,CC BY 4.0,7498a8b69014c0789bd3d08e6464aaed82e4617d5548b03a7c5de193435bc0a1
magnet.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/magnet.svg,CC BY 4.0,46053a77257eaace3e6558251614ebfa25c62e4cd9ccf8787239799d8a0b3c81
map.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/map.svg,CC BY 4.0,9cf10442df66f34a5f235b568bb9b2701e339b5a73e0906ec63edf4edf38c266
moon.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/moon.svg,CC BY 4.0,b42dcda618720290086631793fb09aebfda7a7490d081709f8b027ae9bcd9f25
motorcycle.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/motorcycle.svg,CC BY 4.0,da047aa490c91260d3393c4de73d1d5139213e156fb53378e178bc11046b237d
mountain.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/mountain.svg,CC BY 4.0,a8e27816be6aa17bc846f17ae4c90dc4a38fa974430e653e4e1e8dc1bc5b0a28
mug-hot.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/mug-hot.svg,CC BY 4.0,f072cfea2b82fb6f24dacb941dbb18d59144752ba79953fe5d1da1ff01bf99c7
music.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/music.svg,CC BY 4.0,c7856adc81fac23d6ae55b0c00b45b8ffe55712c21f02ddf6ced1a449c271272
otter.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/otter.svg,CC BY 4.0,0cc5027a349a26d1b2b3a7a699db2e12fc1d5480442e13fd0ef18f9192f5afc8
paw.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/paw.svg,CC BY 4.0,c655a6fef57b26b244ccc4a3b0f24ba642f95d25a243a4638842a78dbbb4c175
pen.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/pen.svg,CC BY 4.0,a99aced3d1e444977bb7f1bc9ef303e39c58805752120a323a7101a415714d1d
person.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/person.svg,CC BY 4.0,bceaf30ef079e7b87124aef5e7a586f1a56524387cfe0c3705ada8c3974f7938
plane.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/plane.svg,CC BY 4.0,7c59faec85cebe3291b0ab8fb134bfa54dc7477134962664fd024709d79ca61a
plug.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/plug.svg,CC BY 4.0,b922c255803675836c366eec5b08e1cbc9ae3833ad3dce089001e3594e7ca222
rocket.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/rocket.svg,CC BY 4.0,6e3a17f29685b8c900768224453a1a3897e28d17f926fad7bd6ff9e3a6a5f472
sailboat.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/sailboat.svg,CC BY 4.0,7b5ef17658857b9b24e29733fb6db9d8057497b77c78a6f239026a275f68c0f5
scissors.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/scissors.svg,CC BY 4.0,d380095d7d8424b8ceb50dcba8fab73c4bd3447de9337697e501a28402d09cc4
shield.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/shield.svg,CC BY 4.0,bcbc95c181331c5807eb6b97ccbceefac6d088d29233e87de6d8c9d503dc5245
ship.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/ship.svg,CC BY 4.0,a0194c9e02c8294bfdff2da06e9b44076f079a56d779b26ce844d529e8d7eb6e
shoe-prints.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/shoe-prints.svg,CC BY 4.0,e4c37e17b3f4b6b25b5fa0d033b7a5f5533bbd98904374acfa6574c546bd7736
snowflake.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/snowflake.svg,CC BY 4.0,6c069acbe7117e7e9f43b6baf944256ba729ac823f5effc19f0286e599ccb653
spider.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/spider.svg,CC BY 4.0,1a71b681f1120c245ad0f3a3c9eefc7ee4a17b27055e03e901ff48b2bfea339b
star.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/star.svg,CC BY 4.0,ffc5ffc7ac9d558aa8210340d44d13340f4408d59a9c36718f2b74d4a7f7e02d
sun.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/sun.svg,CC BY 4.0,50875ddf5c7dcd3a837f68b9be5f0c561c2eb0b7d402a44fd94d8bc5871304f9
taxi.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/taxi.svg,CC BY 4.0,9f0d8be36efc39b2c298bd7bbe1caccab588f479a802853440c1fe4f401f3135
thumbtack.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/thumbtack.svg,CC BY 4.0,09e81a14594735397d253bf44c3af8b932a4ab557057334194db59339b88473e
tree.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/tree.svg,CC BY 4.0,4809637eb5e15a5b80d3a7d771a66762e6654778406a73c94867f85d30ec9f98
trophy.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/trophy.svg,CC BY 4.0,f32c01dbc1de2c485cffbdfcf12427eea40852d9a8ae731c56954d733c6f4e84
truck.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/truck.svg,CC BY 4.0,c068b0062c92a4f33c76017337c1d023dcb9e3e6aed1008f784f26e72ff517b5
umbrella.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/umbrella.svg,CC BY 4.0,23da14bf4c0eafbfbb86a9ae3e8482dd2fb5689ec9acbf52d9fd06b7d1a55927
user.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/user.svg,CC BY 4.0,e29138191bd26218805babdcd1d270455c314c29f150c0d6a39a2458101487a3
wrench.svg,https://github.com/FortAwesome/Font-Awesome/blob/7.x/svgs/solid/wrench.svg,CC BY 4.0,ad0025b6ee4216ad1514be3dbef3b3d7c635515324f54420f128caf70b8adad4
